⌚	наручний годинник	годинник|наручний годинник
🈴	кнопка "достатня оцінка" японською	ієрогліф|китайський|кнопка "достатня оцінка" японською|Японія|Японський
🈵	кнопка "місць немає" японською	квадрат з ідеограмою «заповненість»|китайський|кнопка "місць немає" японською|японський ієрогліф
🈶	кнопка "не безкоштовно" японською	ієрогліф|квадрат з ідеограмою «існує»|кнопка "не безкоштовно" японською|японський
🈸	кнопка "заявка" японською	ієрогліф|квадрат з ідеограмою «подати заявку»|китайський|кнопка "заявка" японською
🈹	кнопка "знижка" японською	ієрогліф|квадрат з ідеограмою «поділити»|кнопка "знижка" японською|японський
🈺	кнопка "робота" японською	ієрогліф|квадрат з ідеограмою «робота»|китайський|кнопка "робота" японською
🉐	кнопка "угода" японською	ієрогліф|кнопка "угода" японською|Японія|японський
🉑	кнопка "прийнятно" японською	ієрогліф|китайський|кнопка "прийнятно" японською|коло з ідеограмою «прийняти»
🌀	циклон	запаморочення|погода|смерч|спіраль|тайфун|циклон
🌁	туманно	верхівка|гора|погода|топ|туман|туманно
🌂	складена парасолька	дощ|одяг|парасолька|погода|складена парасолька
🌃	зоряна ніч	зірка|зоряна ніч|ніч|погода
🌄	схід сонця над горами	гора|погода|ранок|сонце|схід|схід сонця над горами
🌅	схід сонця	погода|ранок|світанок|сонце|схід сонця
🌆	місто в сутінках	будівля|вечір|захід|ландшафт|місто|місто в сутінках|сутінки
🌇	захід сонця	будівля|захід сонця|місто|сонце|сутінки
🌈	веселка	бісексуал|гей|гендер|глбт|дощ|квір|лгбт|лесбіянка|погода|природа|транс
🌉	міст уночі	golden gate|міст|міст уночі|ніч|погода
🌊	хвиля	вода|океан|погода|хвиля
🌋	вулкан	виверження|вулкан|гора|лава
🌌	Чумацький шлях	космос|погода|чумацький шлях|Чумацький шлях
🌍	глобус, що показує Європу й Африку	африка|Африка|глобус|глобус, що показує Європу й Африку|європа|Європа|земля|світ|що показує Європу й Африку
🌎	глобус, що показує Америки	Америка|глобус|глобус, що показує Америки|Західна півкуля|земля|планета|світ|що показує Америки
🌏	глобус, що показує Азію і Австралію	австралія|Австралія|азія|Азія|глобус|глобус, що показує Азію і Австралію|земля|світ|що показує Азію і Австралію
🌐	земна куля з меридіанами	глобус|глобус із меридіанами|земля|земна куля з меридіанами|меридіани|світ
🌑	молодий місяць	космос|місяць|молодий|погода|темний
🌒	місяць у першій чверті	зростаючий|космос|місяць|місяць у першій чверті|молодий півмісяць|півмісяць|погода
🌓	перша чверть місяця	космос|луна|місяць|місяць у першій чверті|перша чверть місяця|погода|чверть
🌔	місяць у другій чверті	зростаючий|космос|місяць|місяць у другій чверті|погода|серпоподібний
🌕	повний місяць	космос|місяць|повний|погода
🌖	місяць у третій чверті	космос|місяць|місяць у третій чверті|погода|серпоподібний|спадаючий
🌗	остання чверть місяця	затемнення|космос|місяць|місяць в останній чверті|небо|остання чверть місяця|планета|погода|супутник|чверть
🌘	місяць у четвертій чверті	космос|місяць|місяць у четвертій чверті|півмісяць|погода|спадаючий|старий місяць
🌙	серп місяця	космос|місяць|півмісяць|погода|серп місяця
🌚	молодий місяць з обличчям	космос|місяць|молодий місяць з обличчям|обличчя|погода
🌛	перша чверть місяця з обличчям	космос|місяць|обличчя|перша чверть місяця з обличчям|погода|чверть
🌜	остання чверть місяця з обличчям	космос|місяць|обличчя|остання чверть місяця з обличчям|погода|чверть
🌝	повний місяць з обличчям	місяць|обличчя|повний|повний місяць з обличчям|яскравий
🌞	сонце з обличчям	весна|космос|літо|обличчя|погода|сонце|сонце з обличчям|яскравий
🌟	сяйна зірка	блискучий|зірка|іскра|світиться|світло|сяє|сяйна зірка
🌠	метеор	зірка|космос|метеор|небо|падає
🌭	хот-дог	їжа|сосиска|сосиска в тісті|хот-дог
🌮	тако	їжа|мексика|Мексика|мексиканська їжа|мексиканська кухня|тако|такос
🌯	буріто	буріто|їжа|мексика|Мексика
🌰	каштан	горіх|каштан|рослина
🌱	сіянець	листя|паросток|рослина|саджанець|сіянець
🌲	вічнозелене дерево	вічнозелена рослина|вічнозелене дерево|дерево|рослина|сосна|ялинка
🌳	листяне дерево	дерево|листяне дерево|листяний|опадає|рослина
🌴	пальма	дерево|пальма|рослина|тропіки
🌵	кактус	кактус|пустеля|рослина
🌷	тюльпан	квітка|рожевий тюльпан|рослина|тюльпан
🌸	вишневий цвіт	вишневий цвіт|вишня|квітка|рослина|цвіт|цвіт вишні
🌹	троянда	квітка|рослина|троянда|червона троянда
🌺	гібіскус	гібіскус|квітка|рослина
🌻	соняшник	квітка|рослина|сонце|сонях|соняшник
🌼	жовта квітка	жовта квітка|квітка|ромашка|рослина
🌽	качан кукурудзи	їжа|качан|качан кукурудзи|кукурудза|маїс
🌾	сніпок рису	колос|колосся рису|пшениця|рис|рисовий колосок|рослина|сніпок рису
🌿	лікарська рослина	листок|листя|лікарська рослина|рослина
🍀	чотирилисткова конюшина	4|конюшина|листок|листя|рослина|фортуна|чотири|чотирилиста конюшина|чотирилисткова конюшина|щастить
🍁	кленовий листок	дерево|клен|кленовий листок|листок|листя|опадати|осінь|рослина
🍂	опале листя	листок|листопад|листя|опадати|опале листя|опалий листок|осінь|рослина
🍃	листя, що кружляє за вітром	вітер|дути|кружляти|листок|листя|листя, що кружляє за вітром|рослина|що кружляє за вітром
🍄	гриб	гриб|гриб із шапинкою|мухомор|плодове тіло
🍄‍🟫	коричневий гриб	вегетаріанська їжа|вегетаріанський|гарнір|гриби|їжа|коричневий гриб|печериця|трюфель|шампіньйон|шиїтаке
🍅	томат	овоч|плід|помідор|сеньйор помідор|томат|червоний помідор
🍆	баклажан	баклажан|їжа|овоч
🍇	виноград	виноград|виноградина|виноградини|їжа|плід|ягоди
🍈	диня	диня|їжа|плід|фрукт
🍉	кавун	їжа|кавун|літо|плід
🍊	танжерин	їжа|мандарин|оранжевий|плід|помаранч|танжерин|фрукт
🍋	лимон	жовтий лимон|лимон|плід|цитрус
