⌚	наручний годинник	годинник|наручний годинник
👋	рука махає	бувай|вітання|вітаю|дай пʼять|до зустрічі|долоня|махати|помах|привіт|рука|рука махає|тіло
👌	жест «окей»	гаразд|добре|жест|зрозуміло|круто|о’кей|рука|так|тіло|чудово
👍	великі пальці вгору	+1|великі пальці вгору|гаразд|добре|домовилися|класно|круто|палець угору|подобається|рука|супер|схвалення|так|тіло|файно|чудово
👎	великі пальці вниз	-1|великі пальці вниз|не подобається|палець униз|рука|тіло
👏	руки, що аплодують	аплодисменти|біс|браво|відмінно|вітання|оплески|плескати|рука|ура|чудово
👐	відкриті долоні	відкритий|відкриті долоні|відкриті руки|долоні|рука|тіло
👑	корона	ваша височність|королева|королевство|король|корона|одяг
👒	жіночий капелюшок	жінка|жіночий капелюх|жіночий капелюшок|капелюх|одяг
👓	окуляри	одяг|око|окуляри
👔	краватка	краватка|одяг
👕	теніска поло	одяг|теніска|теніска поло|топ|футболка
👖	джинси	джинси|одяг|штани
👗	сукня	одяг|сукня
👘	кімоно	кімоно|одяг
👙	бікіні	бікіні|купальник|одяг|плавати
👚	жіночий одяг	T-Shirt|блуза|жінка|жіночий одяг|одяг|топ|футболка
👛	гаманець	аксесуар|гаманець|гроші|монета|одяг
👜	сумка	одяг|сумка
👝	клатч	клатч|одяг|сумка
👞	чоловіча туфля	взуття|одяг|туфлі|чоловік|чоловіча туфля|чоловіче взуття
👟	кросівка	взуття|взуття для бігу|кросівка|кросівки|кросівок|одяг|спортивний
👠	туфля на високому підборі	взуття|жінка|каблук|одяг|туфлі|туфля на високому підборі|шпилька
👡	жіноча сандалія з підбором	взуття|жінка|жіноча сандалія з підбором|каблук|одяг|сандалі
👢	жіночий чобіт	взуття|жінка|жіночий чобіт|одяг|тепле взуття|чобіт
👣	сліди ніг	відбитки|відбиток|нога|одяг|слід|стопи|ступні|тіло
👤	силует бюсту людини	бюст|загадка|інкогніто|таємниця|тінь
👥	силуети двох людських бюстів	бюст|люди|силует|силуети двох людських бюстів
👦	хлопчик	людина|малеча|хлопець|хлопчик
👧	дівчинка	діва|дівчина|дівчинка|зодіак|хвостики|шкільниця
👨	чоловік	блондин|дорослий|людина|чоловік
👨‍🌾	фермер	господар|садівник|фермер|чоловік
👨‍🍳	кухар	кулінар|кухар|робота|чоловік|чоловік-кухар|шев-повар|шеф-кухар
👨‍🍼	чоловік годує дитину	батьківство|батько|годування|дитина|догляд|людина|немовля|няньчити|тато|турбота|чоловік|чоловік годує дитину
👨‍🎓	студент	абітурієнт|бонет|випускник|студент|чоловік
👨‍🎤	співак	артист|виконавець|зірка|людина|пісняр|рок|соліст|співак|чоловік
👨‍🎨	чоловік-художник	живописець|маляр|митець|палітра|пензлики|робота|творець|художник|чоловік-художник
👨‍🏫	учитель	викладач|вчитель|інструктор|професор|робота|учитель|чоловік
👨‍🏭	робітник	завод|конвеєр|промисловий|робітник|трудівник|фабрика|чоловік
👨‍💻	технолог	винахідник|кодувальник|комп’ютер|програміст|робота|розробник|технік-програміст|технолог|чоловік
👨‍💼	службовець	архітектор|менеджер|офіс|офісний працівник|службовець|чоловік
👨‍🔧	механік	водопровідник|електрик|електротехнік|механік|робота|сантехнік|фахівець|чоловік
👨‍🔬	науковець	біолог|інженер|наука|науковець|фізик|хімік|чоловік
👨‍🚀	астронавт	астронавт|космонавт|космос|ракета|робота|чоловік
👨‍🚒	пожежник	вогнеборець|пожежний автомобіль|пожежник|робота|чоловік
👨‍🦯	чоловік із тактильною тростиною	біла|білий|доступність|незрячий|сліпий|спеціальні можливості|тростина|ціпок|чоловік
👨‍🦼	чоловік у візку з електроприводом	візок|доступність|колісне крісло|людина|спеціальні можливості|чоловік|чоловік у візку|чоловік у візку з електроприводом
👨‍🦽	чоловік у візку з ручним приводом	візок|доступність|колісне крісло|спеціальні можливості|чоловік|чоловік у візку|чоловік у візку з ручним приводом
👩	жінка	білявка|доросла|жінка|людина
👩‍🌾	фермерка	господарка|жінка|робота|садівник|садівниця|фермер|фермерка
👩‍🍳	кухарка	жінка|жінка-кухар|кулінарка|кухар|кухарка|повар|повариха|робота|шеф-кухарка|шеф-повар
👩‍🍼	жінка годує дитину	батьківство|годування|дитина|догляд|жінка|жінка годує дитину|людина|мама|материнство|мати|матуся|немовля
👩‍🎓	студентка	абітурієнтка|бонет|випускниця|жінка|студентка
👩‍🎤	співачка	артистка|виконавиця|жінка|зірка|людина|рок|солістка|співачка
👩‍🎨	художниця	жінка-митець|малярка|палітра|пензлики|робота|художниця
👩‍🏫	учителька	викладачка|вчителька|жінка|інструктор|професор|робота|учителька
👩‍🏭	робітниця	жінка|завод|зварка|конвеєр|монтаж|промисловий|робітник|робітниця|трудівниця|фабрика
👩‍💻	жінка-технолог	винахідниця|жінка|жінка-програміст|жінка-технолог|кодувальниця|офісна працівниця|робота|технік-програміст
👩‍💼	службовка	архітектор|ділова жінка|жінка|менеджер|офіс|офісна працівниця|службовка
👩‍🔧	жінка-механік	жінка|жінка-електротехнік|жінка-механік|жінка-сантехнік|жінка-фахівець|майстриня|полагодити|робота
👩‍🔬	жінка-науковець	жінка|жінка-біолог|жінка-інженер|жінка-науковець|жінка-фізик|жінка-хімік|наука|науковець|робота
👩‍🚀	астронавтка	астронавтка|жінка|жінка-космонавт|космонавтка|ракета|робота
👩‍🚒	жінка-пожежник	жінка|жінка-вогнеборець|жінка-пожежник|пожежний автомобіль|пожежник|робота
👩‍🦯	жінка з тактильною тростиною	біла|білий|доступність|жінка|незряча|сліпа|спеціальні можливості|тростина|ціпок
👩‍🦼	жінка у візку з електроприводом	візок|доступність|жінка|жінка у візку з електроприводом|колісне крісло|людина|спеціальні можливості
👩‍🦽	жінка у візку з ручним приводом	візок|доступність|жінка|жінка у візку з ручним приводом|колісне крісло|людина|спеціальні можливості
👪	родина	батько|дитина|мама|матір|родина|сімʼя|тато
👫	жінка й чоловік, що тримаються за руки	близнята|дружба|жінка|за руки|пара|побачення|тримати|флірт|чоловік
👬	чоловіки, що тримаються за руки	близнюки|Близнята|дружба|за руки|зодіак|лгбт|пара|флірт|хлопці|чоловіки
👭	жінки, що тримаються за руки	дівчата|жінки|жінки, що тримаються за руки|пара|подруги|подружки|рука|тримаються за руки|що тримаються за руки
👮	працівник поліції	коп|офіцер|поліцейський|поліцейський під прикриттям|поліція|працівник поліції|співробітник|штрафувати
👯	люди з кролячими вухами	близнюки|вечірка|вуха|дівчина|жінка|кролик|люди|люди з кролячими вухами|найкращі друзі|однакові|пара|танцівниці|танцівниця
👰	людина у фаті	весілля|людина|людина з фатою|людина у фаті|наречена|фата
👱	людина з білявим волоссям	біляве|блонд|блондин|волосся|людина|людина з білявим волоссям|людина зі світлим волоссям|обличчя|світле волосся|світлий
👲	чоловік у китайській шапці	гуа пі мао|кругла|чоловік|чоловік в кепці|чоловік у китайській шапці|шапочка
👳	людина в тюрбані	людина|людина в тюрбані|тюрбан
👴	літній чоловік	дорослий|лисий|літній чоловік|пристарілий|старий|чоловік
👵	літня жінка	бабуся|в літах|доросла|жінка|літня жінка|людина|стара
👶	немовля	дитина|малеча|немовля
👷	будівельник	будівельник|будівництво|будувати|каска|працівник|ремонт|ремонтувати|робітник|робота|шолом
👸	принцеса	казкова|королева|королівна|корона|принцеса|робота|чарівна
👹	велетень-людожер	велетень-людожер|казка|людожер|монстр|обличчя|створіння|фантазія|японський
👺	гоблін	гоблін|казка|монстр|обличчя|створіння|фантазія|японський
👻	привид	казка|каспер|монстр|обличчя|привид|створіння|фантазія
👼	янголятко	ангел|казка|немовля|обличчя|фантазія
👽	прибулець	казка|нло|обличчя|позаземний|прибулець|створіння|чужий
👾	іншопланетний монстр	іншопланетний монстр|космос|монстр|нло|обличчя|позаземний|прибулець|прибулець-монстр|створіння|фантазія
👿	сердите обличчя з рогами	демон|диявол|дідько|з рогами|обличчя|фантазія|чортеня
💀	череп	казка|монстр|обличчя|смерть|тіло|череп
💁	людина, що простягає руку допомоги	байдуже|довідка|допомога|інформація|сарказм|серйозно|чайові
💂	варта	варта|караул|охорона|сторожа|чати
💃	жінка, що танцює	жінка|сальса|сукня|танго|танець|танок|фламенко
💄	помада	губна помада|косметика|помада|червона помада
💅	лак для нігтів	догляд|косметика|лак|лак для нігтів|манікюр|ніготь|нігті|робота|рука|тіло
💆	людина, якій роблять масаж голови	відпочинок|голова|догляд|масаж|обличчя|релакс|салон|турбота
💇	людина, якій роблять стрижку	волосся|зачіска|косметологія|краса|перукар|перукарня|салон|стрижка
💈	вивіска перукаря (смугастий стовп)	вивіска|вивіска перукаря|вивіска перукаря (смугастий стовп)|зачіска|перукар|перукарня
💉	шприц	голка|інструмент|лікар|ліки|укол|хворий|шприц
💊	пігулка	за рецептом|лікар|ліки|пігулка|хворий
💋	слід цілунку	відбиток|вуста|губи|закоханість|поцілунок|серце
💌	любовний лист	закоханість|закохансіть|кохання|лист|любовний лист|пошта|серце
💍	каблучка	виходь за мене|діамант|заручення|каблучка|кохання|пропозиція
💎	коштовний камінь	діамант|дорогоцінний|камінь|кохання|коштовний камінь
💏	чоловік і жінка, що цілуються	закоханість|кохання|любов|людина|пара|побачення|поцілунок|річниця|стосунки
💐	букет	букет|квіти|квітка|кохання|рози|рослина
💑	чоловік і жінка із серцем між ними	закоханість|кохання|кохаю тебе|пара|побачення|серце|стосунки|чоловік і жінка із серцем між ними
💒	весілля	весілля|каплиця|кохання|церемонія
💓	серце, що бʼється	биття|емоція|кардіо|кохання|кохаю|люблю|пульсувати|пульсуюче|серце|серцебиття|ятк|ятл
💔	розбите серце	емоція|розбивати|розбите|розлука|самотній|сум
💕	два серця	кохання|кохаю|люблю|любов|пара|поцілунок|серця|ятк|ятл
💖	серце, що виблискує	блискітки|блискуче|захоплення|кохаю|люблю|рожеве|серце|сяйво|щастя|ятк|ятл
💗	серце, що зростає	емоція|захоплення|збільшується|зростає|нервувати|серце|серцебиття|я тебе кохаю|я тебе люблю|ятк|ятл
💘	серце, пробите стрілою	закоханість|купідон|пробите стрілою|серце|серце зі стрілою|серце, пробите стрілою|стріла
💙	синє серце	серце|синє серце|синій|холодне серце
💚	зелене серце	зелене серце|зелений|кохання|серце
💛	жовте серце	жовте серце|жовтий|кохання|серце
💜	пурпурове серце	бузковий|пурпурний|пурпурове серце|пурпуровий|серце|фіолетове серце|фіолетовий|шарлатовий
💝	серце зі стрічкою	валентин|кохання|серце|серце зі стрічкою|стрічка
💞	серця, що обертаються	емоція|кохання|любов|обертатися|річниця|серце
💟	прикраса із серцем	143|білий|кохання|прикраса із серцем|серце|стилізоване|фіолетовий
💠	ромб із крапкою	геометричний|діамант|крапка|малюнок|ромб із крапкою
💡	лампочка	електричний|ідея|лампочка|малюнок|світло
💢	символ гніву	гнів|злий|комікси|розлючений
💣	бомба	бомба|вибух|комікси|небезпечний
💤	умовне позначення сну	добраніч|комікси|ніч|сон|спати|спить|сплю|стомлений|хрр
💥	зіткнення	бах|бум|вибух|іскра|комікси|спалах
💦	краплі поту	бризки|вода|комікси|краплі|краплі поту|піт
💧	крапля	комічний|крапля|піт|погода|холодний
💨	порив вітру	біг|комікси|мчати|порив вітру|стрімкість|швидко
💩	усміхнена купа лайна	екскременти|жарт|кака|лайно|пупу|усміхнена купа лайна
💪	напружений біцепс	бодибілдер|важкоатлет|зігнутий|крутий|м’яз|мускулистий|рука|силач|спорт|тренування
💫	символ запаморочення	запаморочення|зірка|комікси|символ запаморочення|фортуна|щаслива зірка
💬	текстова булька	діалог|комікси|розмова|текстова булька|хмаринка|хмаринка з текстом
💭	булька роздумів	булька роздумів|думка|комікси|хмаринка
💮	біла квітка	біла квітка|квітка
💯	cто балів	100|максимум|очки|очок|рахунок|результат|точно|число
💰	мішок грошей	гроші|долар|мішок|мішок грошей|мішок із грошима
💱	обмін валют	банк|валюта|гроші|обмін|обмін валют|обмін грошей
💲	знак долара	валюта|гроші|долар|знак долара|символ долара
💳	кредитна картка	банк|безготівковий розрахунок|гроші|картка|кредитна|розрахунок
💴	єнові банкноти	банк|банкнота|валюта|гроші|єна|єнові банкноти|купюра
💵	доларові банкноти	банк|банкнота|валюта|гроші|долар|доларові банкноти|купюра
💶	єврові банкноти	банк|банкнота|валюта|гроші|євро|єврові банкноти|купюра
💷	фунтові банкноти	банк|банкнота|валюта|гроші|купюра|фунт|фунтові банкноти
💸	гроші з крилами	банк|банкнота|гроші|гроші з крилами|долар|крила|купюра|літати
💹	графік зростання і знак єни	валюта|вгору|графік зростання і знак єни|гроші|діаграма|єна|збільшення|ріст|тенденція
💺	сидіння	крісло|місце|сидіння
💻	ноутбук	комп’ютер|ноутбук|персональний|пк
💼	кейс	кейс|портфель
💽	компʼютерний диск	диск|комп’ютер|міні-диск|мінідиск|оптичний
💾	дискета	диск|дискета|комп’ютер
💿	компакт-диск	blu-ray|cd|dvd|диск|комп’ютер|компакт-диск|оптичний
📀	[DVD]-диск	[DVD]-диск|blu-ray|cd|DVD-диск|диск|комп’ютер|оптичний
📁	папка для файлів	закрита|папка|тека|файл
📂	відкрита папка для файлів	відкрита|папка|тека|файл
📃	сторінка із завитком	документ|завиток|сторінка|сторінка із завитком
📄	сторінка лицевою стороною	документ|сторінка|сторінка лицевою стороною
📅	календар	відривний календар|дата|календар
📆	відривний календар	відривний календар|календар
📇	картотека	індекс|картотека|указівник
📈	висхідний графік	вгору|висхідна діаграма|висхідний графік|графік|графік підвищення|діаграма|ріст|тенденція
📉	низхідний графік	вниз|графік|графік падіння|діаграма|низхідна діаграма|низхідний графік|тенденція
📊	гістограма	гістограма|графік
📋	планшет для аркушів	папка|папка-планшет|планшет|планшет для аркушів
📌	канцелярська кнопка	канцелярська кнопка|кнопка
📍	шпилька з круглою голівкою	канцелярський|кнопка|круглий|лоліпоп|пін|шпилька
📎	скріпка	канцтовари|скріпка
📏	пряма лінійка	геометрія|лінійка|пряма лінійка|прямий кут
📐	трикутна лінійка	лінійка|трикутна лінійка|трикутник
📑	мітки закладок	вкладка|закладка|закладки|значок|мітка|мітки закладок|стікери
📒	гросбух	гросбух|журнал|записник|реєстр
📓	зошит для творів	блокнот|записник|зошит для творів
📔	записник у декоративній обкладинці	декоративна|записник|записник у декоративній обкладинці|книжка|обкладинка
📕	закрита книга	журнал|закрита|закрита книга|книжка|червона книга|червоний підручник
📖	відкрита книга	відкрита|відкрита книга|книжка|читати
📗	зелений підручник	журнал|зелена книга|зелений|зелений підручник|книжка|облік
📘	синій підручник	книжка|синій|синій підручник|синя книга
📙	оранжевий підручник	книжка|оранжева книга|оранжевий|оранжевий підручник
📚	книги	бібліотека|книгарня|книги|книжка|книжки
📛	бейдж з іменем	бейдж|бейдж з іменем|ім’я
📜	сувій	папір|папірус|рукопис|сувій
📝	памʼятка	нотатка|нотатки|олівець|памʼятка
📞	телефонна слухавка	слухавка|телефон|телефонна розмова|телефонна слухавка
📟	пейджер	пейджер
📠	факс	телефакс|факсимільний апарат
📡	супутникова антена	антена|супутникова|тарілка
📢	гучномовець	голосно|гучний|гучномовець|звукове оповіщення
📣	мегафон	мегафон|оголошення|підбадьорення|рупор
📤	лоток вихідної скриньки	електронний лист|коробка|лист|лоток|лоток вихідної скриньки|лоток для вихідної пошти|надісланий|пошта
📥	лоток вхідної скриньки	вхідна пошта|коробка|лист|лоток|лоток вхідної скриньки|лоток для вхідної пошти|отримувати|пошта
📦	пакунок	пакунок|посилка
📧	електронний лист	електронний лист|елист|емейл|епошта|імейл|лист|пошта
📨	конверт вхідного листа	вхідний|емейл|імейл|конверт|конверт вхідного листа|лист|отримати|пошта
📩	конверт зі стрілкою	вихідний|вниз|вхідна пошта|вхідний імейл|імейл|конверт|конверт зі стрілкою|лист|надісланий|пошта|стрілка
📪	закрита поштова скринька з опущеним прапорцем	закрита поштова скринька з опущеним прапорцем|закритий|опущений|пошта|поштова скринька
📫	закрита поштова скринька з піднятим прапорцем	закрита поштова скринька з піднятим прапорцем|закритий|пошта|поштова скринька
📬	відкрита поштова скринька з піднятим прапорцем	відкрита поштова скринька з піднятим прапорцем|відкритий|пошта|поштова скринька
📭	відкрита поштова скринька з опущеним прапорцем	відкрита поштова скринька|відкрита поштова скринька з опущеним прапорцем|відкритий|опущений|пошта|поштова скринька|пуста поштова скринька
📮	поштова скринька	пошта|поштова скринька|скринька
📯	поштовий ріжок	пошта|поштовий|ріжок
📰	газета	газета|новини|папір|шпальта
📱	мобільний телефон	мобільний|стільниковий|стільниковий звʼязок|телефон
📲	мобільний телефон зі стрілкою	вхідний дзвінок|доступний на мобільному|зателефонуй мені|мобільний|мобільний телефон зі стрілкою|отримувати|стільниковий|стрілка|телефон|телефонувати
📳	віброрежим	вібрація|віброрежим|звʼязок|мобільний|режим вібрації|стільниковий|телефон
📴	мобільний телефон вимкнено	вимкнено|мобільний|стільниковий|телефон
📵	мобільні телефони заборонено	заборонено|користуватися|мобільний|мобільні телефони заборонені|мобільні телефони заборонено|стільниковий|телефон
📶	рівень сигналу	мобільний|рівень|рівень сигналу|сигнал|стільниковий|телефон
📷	фотоапарат	відео|знімки|камера|на згадку|фото|фотоапарат|фотограф
📸	фотоапарат зі спалахом	відео|камера|спалах|фото|фотоапарат зі спалахом
📹	відеокамера	відео|відеокамера|камера
📺	телевізор	TV|відео|тб|телевізор|чорно-білий телевізор
📻	радіоприймач	відео|радіо|радіоприймач
📼	відеокасета	відео|відеокасета|касета|стрічка
📿	молитовні чотки	вервиця|молитися|молитовні чотки|намисто|одяг|релігія|чотки
🔀	кнопка тасування композицій	кнопка «Змішати композиції»|кнопка тасування композицій|перехрещені|перехрещені стрілки|стрілка
🔁	кнопка повтору	за годинниковою стрілкою|кнопка «Повторити»|кнопка повтору|повторити|стрілка
🔂	кнопка одноразового повтору	за годинниковою стрілкою|кнопка «Повторити одну композицію»|кнопка одноразового повтору|один раз|стрілка
🔃	вертикальні стрілки за ходом годинника	вертикальні стрілки за ходом годинника|за годинниковою стрілкою|оновити|перезавантаження|перезавантажити|стрілка|стрілки по колу за годинниковою стрілкою
🔄	кнопка стрілок проти ходу годинника	кнопка зі стрілками|кнопка стрілок проти ходу годинника|навкруги|напрямленими проти годинникової стрілки|проти годинникової стрілки|стрілка
🔅	кнопка зменшення яскравості	жовтий|зменшити|кнопка зменшення яскравості|сонце|яскравий|яскравість|яскраво
🔆	кнопка збільшення яскравості	кнопка збільшення яскравості|яскравий|яскравість
🔇	заглушений динамік	беззвучний|беззвучно|вимкнений динамік|вимкнений звук|гучність|динамік|заглушений динамік|звук динаміка вимкнено|нечутно|тихо
🔈	низька гучність динаміка	голосно|гучність|динамік|негучно|низька гучність динаміка|приглушено
🔉	середня гучність динаміка	гучність|динамік|середньо|середня гучність динаміка|увімкнений динамік
🔊	високий рівень гучності динаміка	висока гучність динаміка|високий рівень гучності динаміка|голосно|гучний|гучність|гучно|гучномовець|динамік|музика
🔋	батарея	акумулятор|батарейка|батарея|джерело живлення
🔌	штепсель	вилка|вилка електроприладу|електрика|електричний|штепсель
🔍	збільшувальне скло з нахилом уліво	з нахилом уліво|збільшення|інструмент|лабораторія|наука|нахилений|пошук|скло|уліво
🔎	збільшувальне скло з нахилом управо	збільшення|інструмент|контакт|лабораторія|наука|нахил управо|нахилений|пошук|скло|управо
🔏	замок і чорнильна ручка	замок|замок і чорнильна ручка|конфіденційність|перо|приватність|ручка|секретні матеріали|таємно|чорнило
🔐	замкнений замок із ключем	безпека|безпечно|замкнений замок із ключем|замкнено|замок|ключ
🔑	ключ	ключ|пароль
🔒	замкнений замок	закрито|замкнено|замок|захист|приватність
🔓	відімкнений замок	відімкнений замок|відімкнути|відкрити|відкритий замок|відрити|замок
🔔	дзвінок	дзвін|дзвінок|дзвоник
🔕	заглушений дзвінок	беззвучний|вимкнений|глушити|дзвінок|дзвоник|заборонено|заглушений|звук|перекреслений|тихий
🔖	закладка	бірка|закладка|значок
🔗	символ зʼєднання ланок	звʼязка|ланка|ланцюг|посилання|символ зʼєднання ланок|скріплення
🔘	перемикач	геометричний|кнопка|перемикач
🔙	стрілка назад [BACK]	назад|стрілка|стрілка BACK|стрілка назад [BACK]|стрілка назад BACK
🔚	стрілка [END]	кінець|стрілка|стрілка [END]
🔛	стрілка [ON!]	ввімкнено|значок|обидва напрямки|стрілка|стрілка [ON!]
🔜	стрілка [SOON]	незабаром|стрілка|стрілка [SOON]
🔝	стрілка [TOP]	вверх|вгору|стрілка|стрілка [TOP]
🔞	вхід особам до 18 років заборонений	18|вікове обмеження|вісімнадцять|вісімнадцять і старіше|вхід особам до 18 років заборонений|заборонено|лише для повнолітніх|повнолітній
🔠	введення великими латинськими літерами	введення|введення великими латинськими літерами|великі|латинські|літери
🔡	введення малими латинськими літерами	abcd|алфавіт|введення|введення малими латинськими літерами|латинські|літери|малі
🔢	введення цифрами	1234|введення|введення цифрами|цифри
🔣	введення символів	&|%|♪|〒|ввід|набір|символи
🔤	введення латинськими літерами	abc|алфавіт|введення|введення латинськими літерами|латинниця|латинські|літери
🔥	вогонь	вогонь|інструмент|полум’я
🔦	ліхтарик	електричний|інструмент|ліхтарик|світло
🔧	гайковий ключ	гайковий ключ|інструмент|ремонтувати
🔨	молоток	забивати|інструмент|молоток|ремонтувати
🔩	гайка та болт	болт|гайка|гайка та болт|інструмент
🔪	кухонний ніж	готування|зброя|знаряддя|кухня|кухонний ніж|ніж|різати
🔫	водяний пістолет	водяний пістолет|зброя|знаряддя|іграшкова зброя|іграшковий пістолет|пістолет|револьвер
🔬	мікроскоп	інструмент|мікроскоп
🔭	телескоп	астроном|дивитися на зірки|інструмент|телескоп
🔮	кришталева куля	віщування|ворожити|казка|кришталева куля|майбутнє|передбачати майбутнє|передбачення|фантазія|фортуна
🔯	шестикутна зірка з крапкою	єврей|зірка|іудаїзм|релігія|удача|шестикутна зірка|шестикутна зірка з крапкою
🔰	японський символ «початківець»	жовтий|зелений|листок|початківець|шеврон|японський|японський символ «початківець»
🔱	тризуб	емблема|інструмент|корабель|тризуб|якір
🔲	квадратна кнопка з чорною рамкою	геометричний|геометрія|квадрат|квадратна кнопка з чорною рамкою|кнопка|рамка|чорна квадратна кнопка
🔳	квадратна кнопка з білою рамкою	біла квадратна кнопка|геометричний|квадрат|квадратна кнопка з білою рамкою|кнопка|контур
🔴	червоний круг	геометричний|коло|червоне|червоний круг
🔵	cиній круг	cиній круг|геометричний|коло|синє
🔶	великий оранжевий ромб	великий|великий оранжевий ромб|великий помаранчевий ромб|геометричний|діамант|оранжевий|оранжевий ромб
🔷	великий синій ромб	великий синій ромб|геометричний|діамант|синій|синій ромб
🔸	малий оранжевий ромб	геометричний|діамант|малий|малий оранжевий ромб|малий помаранчевий ромб|оранжевий|помаранчевий|помаранчевий ромб
🔹	малий синій ромб	геометричний|діамант|малий синій ромб|синій|синій ромб
🔺	червоний трикутник, направлений угору	геометричний|направлений угору|червоний|червоний трикутник|червоний трикутник, направлений угору
🔻	червоний трикутник, направлений униз	вниз|геометричний|направлений униз|червоний|червоний трикутник|червоний трикутник, направлений униз
🔼	кнопка догори	кнопка|кнопка «Угору»|кнопка догори|стрілка|червоний
🔽	кнопка донизу	вниз|кнопка|кнопка «Униз»|кнопка донизу|стрілка|червоний
🕋	Кааба	іслам|кааба|Кааба|мусульманський|релігія|хадж
🕌	мечеть	іслам|мечеть|мусульманський|релігія
🕍	синагога	єврей|єврейський|іудаїзм|релігія|синагога|храм
🕎	менора	канделябр|менора|підсвічник|релігія|Ханука
🕐	перша година	00|1|1:00|година|годинник|один|перша година
🕑	друга година	00|2|2:00|година|годинник|два|друга година
🕒	третя година	00|3|3:00|година|годинник|третя година|три
🕓	четверта година	00|4|4:00|година|годинник|четверта година|чотири
🕔	п’ята година	00|5|5:00|година|годинник|п’ята година|п’ять
🕕	шоста година	00|6|6:00|година|годинник|шість|шоста година
🕖	сьома година	00|7|7:00|година|годинник|сім|сьома година
🕗	восьма година	00|8|8:00|вісім|восьма година|година|годинник
🕘	дев’ята година	00|9|9:00|година|годинник|дев’ята година|дев’ять
🕙	десята година	00|10|10:00|година|годинник|десята година|десять
🕚	одинадцята година	00|11|11:00|година|годинник|одинадцята година|одинадцять
🕛	дванадцята година	00|12|12:00|година|годинник|дванадцята година|дванадцять|час
🕜	пів на другу	1|1:30|30|годинник|один|пів на другу|тридцять
🕝	пів на третю	2|2:30|30|годинник|два|пів на третю|тридцять
🕞	пів на четверту	3|3:30|30|годинник|пів на четверту|три|тридцять
🕟	пів на п’яту	30|4|4:30|годинник|пів на п’яту|тридцять|чотири
🕠	пів на шосту	30|5|5:30|годинник|п’ять|пів на шосту|тридцять
🕡	пів на сьому	30|6|6:30|годинник|пів на сьому|тридцять|шість
🕢	пів на восьму	30|7|7:30|годинник|пів на восьму|сім|тридцять
🕣	пів на дев’яту	30|8|8:30|вісім|годинник|пів на дев’яту|тридцять
🕤	пів на десяту	30|9|9:30|годинник|дев’ять|пів на десяту|тридцять
🕥	пів на одинадцяту	10|10:30|30|годинник|десять|пів на одинадцяту|тридцять
🕦	пів на дванадцяту	11|11:30|30|годинник|одинадцять|пів на дванадцяту|тридцять
🕧	пів на першу	12|12:30|30|годинник|дванадцять|пів на першу|тридцять
🕺	чоловік, що танцює	співак|танці|чоловік|чоловік танцює|чоловік, що танцює|шоумен|що танцює
🖕	середній палець	палець|рука|середній палець
🖖	вулканське вітання	вулкан|вулканське вітання|жест|зоряний шлях|палець|пальці|рука|спок|тіло
🖤	чорне серце	заздрість|зло|серце|чорне
🗻	гора Фудзі	гора|Фудзи|фудзі
🗼	Токійська вежа	вежа|токійська вежа|Токійська вежа|Токіо
🗽	Статуя Свободи	свобода|статуя|статуя свободи|Статуя Свободи|США
🗾	карта Японії	карта|карта японії|карта Японії|мапа Японії|острів|японія|Японія
🗿	статуя з Острова Пасхи	лице|моай|статуя|статуя з Острова Пасхи
😀	широко всміхнене обличчя	вищир|обличчя|посмішка|радість|сміх|усміхнений|усмішка|широкий
😁	осяйно всміхнене обличчя й очі	зуби|обличчя|осяйно|очі|посмішка|радісний|світиться|усмішка|широко|шкіриться|щасливий
😂	обличчя в сльозах радості	веселий|до сліз|кумедний|лол|обличчя|радість|регіт|розсмішити|сльози|сміх|хаха
😃	широко всміхнене обличчя з очищами	великий|вищир|відкритий|обличчя|очища|очі|посмішка|радість|рот|сміх|усміхнений|усмішка|широкий
😄	широко всміхнене обличчя з примруженими очима	великий|вищир|відкритий|обличчя|очища|очі|посмішка|примружений|радість|рот|сміх|усміхнений|усмішка|широкий
😅	широко всміхнене обличчя з потом	відкритий|задоволений|обличчя|піт|посмішка|радість|реготати|рот|сміх|смішно|усміхнений|усмішка|хаха|холодний|широкий|щасливий
😆	обличчя із широкою посмішкою й замруженими очима	великий|відкритий|задоволений|обличчя|очі|посмішка|примружений|радість|реготати|рот|сміх|смішно|усміхнений|усмішка|хаха|широкий|щасливий
😇	усміхнене обличчя з німбом	ангел|безневинність|казка|німб|обличчя|посмішка|усмішка|фантазія|янгол
😈	усміхнене обличчя з рогами	демон|диявол|диявольська посмішка|з рогами|зла посмішка|казка|монстр|обличчя|посмішка|ріжки|фантазія|фіолетовий
😉	обличчя, що підморгує	дражнити|жарт|залицятися|обличчя|підморгувати|флірт
😊	усміхнене обличчя й очі	задоволення|ніяково|обличчя|очі|посмішка|рум’янець|соромливий|усмішка
😋	усміхнене обличчя, що облизує губи	голод|їжа|ммм|обличчя|посмішка|смак|смачно|страва|усмішка
😌	заспокоєне обличчя	дзен|задоволення|обличчя|полегшення|спокій
😍	усміхнене обличчя з очима-серцями	з задоволенням|з радістю|закоханий|зворушений|кохання|любов|обличчя|очі|посмішка|серце|хочу
😎	усміхнене обличчя в темних окулярах	бро|крутий|круто|окуляри|посмішка|сонце|сонцезахисні|темні|усмішка|чувак|яскраво
