⌚	Armbanduhr	Armbanduhr|Uhr|Zeit
🆗	Großbuchstaben OK in blauem Quadrat	Großbuchstaben|keycap|OK|okay|Taste|Tastenkappe
🆘	SOS-Zeichen	Hilfe|SOS|SOS-Zeichen
🆙	Schriftzug „UP!“ im blauen Quadrat	Keycap|Taste|Tastenkappe|UP|UP!
🆚	Schriftzug VS in orangem Quadrat	gegen|Taste|versus|VS
🈁	Schriftzeichen „koko“	„koko“|japanisches Schriftzeichen|Schriftzeichen „koko“
🈚	Schriftzeichen für „gratis“	gratis|japanisches Schriftzeichen|Schriftzeichen für „gratis“|Schriftzeichen für „Verhandlung“|Verhandlung
🈯	Schriftzeichen für „reserviert“	Finger|japanisches Schriftzeichen|reserviert|Schriftzeichen für „Finger“|Schriftzeichen für „reserviert“
🈲	Schriftzeichen für „verbieten“	japanisches Schriftzeichen|Kanji|Schriftzeichen für „verbieten“|verbieten
🈳	Schriftzeichen für „Zimmer frei“	chinesisches Schriftzeichen|japanisches Schriftzeichen|leer|Schriftzeichen für „leer“|Schriftzeichen für „Zimmer frei“|Zimmer frei
🈴	Schriftzeichen für „Note zum Bestehen“	bestanden|bestehen|chinesisches Schriftzeichen|japanisches Schriftzeichen|Schriftzeichen für „Note zum Bestehen“|Schriftzeichen für „zusammen“|zusammen
🈵	Schriftzeichen für „Kein Zimmer frei“	belegt|besetzt|chinesisches Schriftzeichen|Fülle|japanisches Schriftzeichen|Kanji|kein Zimmer frei|Schriftzeichen für „Fülle“|Schriftzeichen für „Kein Zimmer frei“
🈶	Schriftzeichen für „nicht gratis“	berechnen|existieren|japanisch|nicht gratis|Schriftzeichen|Taste
🈸	Schriftzeichen für „anwenden“	anwenden|chinesisches Schriftzeichen|japanisches Schriftzeichen|Schriftzeichen für „anwenden“
🈹	Schriftzeichen für „Rabatt“	japanisches Schriftzeichen|Rabatt|Schriftzeichen für „Rabatt“|Schriftzeichen für „teilen“|teilen
🈺	Schriftzeichen für „Geöffnet“	Betrieb|chinesisches Schriftzeichen|geöffnet|japanisches Schriftzeichen|Schriftzeichen für „Betrieb“|Schriftzeichen für „Geöffnet“
🉐	Schriftzeichen für „Schnäppchen“	japanisches Schriftzeichen|Schnäppchen|Schriftzeichen für „Schnäppchen“|Schriftzeichen für „Vorteil“|Vorteil
🉑	Schriftzeichen für „akzeptieren“	akzeptieren|japanisch|Schriftzeichen
🌀	Wirbel	Spirale|Wirbel|Wirbelsturm
🌁	neblig	Nebel|neblig|Wetter
🌂	geschlossener Regenschirm	geschlossener Regenschirm|Geschlossener Regenschirm|Regen|Regenschirm
🌃	Sternenhimmel	City|Hochhäuser|Nacht|Skyline|Stadt|Sterne|Sternenhimmel
🌄	Sonnenaufgang über Bergen	Berge|Sonnenaufgang|Sonnenaufgang über Bergen
🌅	Sonnenaufgang über dem Meer	Meer|Sonnenaufgang|Sonnenaufgang über dem Meer
🌆	Abendstimmung in der Stadt	Abendstimmung in der Stadt|Hochhäuser|New York|Skyline|Sonnenaufgang|Sonnenuntergang|Wolkenkratzer
🌇	Sonnenuntergang in der Stadt	Großstadt|Hochhäuser|Morgenrot|Sonnenaufgang|Sonnenuntergang|Sonnenuntergang in der Stadt|Wolkenkratzer
🌈	Regenbogen	Regenbogen|Wetter
🌉	Brücke vor Nachthimmel	Brücke|Brücke vor Nachthimmel|Golden Gate|Nacht|nachts
🌊	Welle	Meer|Welle
