⌚	montre	heure|montre
🛜	sans fil	connexion|haut débit|hotspot|internet|ordinateur|réseau|routeur|sans fil|smartphone|Wi-Fi|wifi|wlan
🛝	toboggan	aire de jeu|glissade|jouer|toboggan
🛞	roue	cercle|pneu|roue|tourner|véhicule|voiture
🛟	bouée de sauvetage	bouée de sauvetage|flotter|sauver|sauveteur|secours|sécurité
🛫	avion au décollage	avion|avion au décollage|décollage|départ|moyen de transport|voyage
🛬	avion à l’atterrissage	arrivée|atterrissage|avion|avion à l’atterrissage|moyen de transport|voyage
🛴	trottinette	trottinette
🛵	scooter	scooter
🛶	canoë	bateau|canoë|rame|ramer
🛷	luge	glisser|luge|neige|traîneau
🛸	soucoupe volante	alien|extraterrestre|ovni|OVNI|soucoupe volante
🛹	planche à roulettes	glisse|longboard|planche à roulettes|roulettes|skate|skateboard
🛺	tuk tuk	rickshaw|taxi|thaï|tricycle|tuk tuk
🛻	pick-up	auto|camion benne|camionnette|pick-up|pickup|plateau|poids lourd|transports|véhicule
🛼	patin à roulettes	derby|patin à roulettes|roller|roulette|roulettes|sport
🟠	disque orange	cercle|disque orange|forme géométrique|géométrie|orange|rond
🟡	disque jaune	cercle|disque jaune|forme géométrique|géométrie|jaune|rond
🟢	disque vert	cercle|disque vert|forme géométrique|géométrie|rond|vert
🟣	disque violet	cercle|disque violet|forme géométrique|géométrie|rond|violet
🟤	disque marron	brun|cercle|disque brun|disque marron|forme géométrique|géométrie|marron|rond
🟥	carré rouge	carré|forme géométrique|géométrie|rouge
🟦	carré bleu	bleu|carré|forme géométrique|géométrie
🟧	carré orange	carré|forme géométrique|géométrie|orange
🟨	carré jaune	carré|forme géométrique|géométrie|jaune
🟩	carré vert	carré|forme géométrique|géométrie|vert
🟪	carré violet	carré|forme géométrique|géométrie|violet
🟫	carré marron	carré|carré brun|forme géométrique|géométrie|marron
🟰	signe égal gras	égal|égalité|mathématiques|réponse|signe égal gras
🤌	bout des doigts joints	agacement|argumentation|bout des doigts joints|doigts|geste|interrogation|main|parler avec les mains|patience|silence !
🤍	cœur blanc	blanc|cœur
🤎	cœur marron	brun|cœur|marron
🤏	pouce et index rapprochés	à deux doigts|petit|petite|petite quantité|petite somme|peu|pouce et index rapprochés|un peu
🤐	visage avec bouche fermeture éclair	bouche|bouche cousue|émoticône|fermeture éclair|motus|se taire|secret|visage|visage avec bouche cousue|visage avec bouche fermeture éclair
🤑	argent dans les yeux et la bouche	argent|argent dans les yeux et la bouche|bouche|dollars|émoticône|yeux
🤒	visage avec thermomètre	indisposé|malade|thermomètre|visage|visage avec thermomètre
🤓	visage de geek	doué|futé|geek|idiot|intelligent|lunettes|personne|premier de la classe|ringard|surdoué|tronche|visage de geek
🤔	visage en pleine réflexion	émoticône|hum|méditer|penser|réfléchir|réflexion|visage|visage en pleine réflexion
🤕	visage avec bandage autour de la tête	aïe|bandage|blessure|bobo|émoticône|pansement|tête|tête avec un bandage|visage|visage avec bandage autour de la tête
🤖	robot	androïde|automate|machine|monstre|robot|visage|visage de robot
🤗	visage qui fait un câlin	câlin|émoticône|gentil|mains|visage|visage qui fait un câlin
🤘	cornes avec les doigts	cornes|cornes avec les doigts|cornes du diable|doigts|main|rock|rock’n roll|yeah
🤙	signe appel téléphonique avec les doigts	appel|main|signe|signe appel téléphonique avec les doigts|téléphone
🤚	dos de main levée	dos de main levée|levée|main
🤛	poing à gauche	fistbump|gauche|main|poing|poing à gauche
🤜	poing à droite	droite|main|poing|poing à droite
🤝	poignée de main	d’accord|main|mains|marché conclu|poignée|poignée de main|présentation|rencontre|serrer la main
🤞	doigts croisés	bonne chance|chance|croisés|doigts|main
🤟	signe je t’aime	amour|geste pour je t’aime|ILY|je t’aime|main|signe je t’aime|trois doigts
🤠	visage avec chapeau de cowboy	chapeau|cowboy|visage|visage avec chapeau de cowboy
🤡	visage de clown	clown|émoticône|maquillage|visage|visage de clown
🤢	visage nauséeux	dégoûtant|écœuré|émoticône|malade|nausée|visage|visage nauséeux|visage vert qui a la nausée|vomir
🤣	se rouler par terre de rire	content|drôle|émoticône|hilare|joyeux|larmes|lol|mdr|pleurer de rire|rire|rire aux larmes|se rouler par terre|se rouler par terre de rire|se tordre de rire|visage|visage qui rit aux larmes
🤤	visage qui bave	baver|délicieux|émoticône|mmh|visage|visage qui bave
🤥	visage de menteur	émoticône|mensonge|menteur|pinocchio|visage|visage de menteur|visage dont le nez s’allonge
🤦	personne avec la paume sur le visage	drame|exaspération|femme avec paume sur visage|geste|incrédulité|incroyable|j’en peux plus|main|pas possible|paume de main|personne|personne avec la paume sur le visage|visage
🤧	visage qui éternue	à tes souhaits|atchoum|émoticône|éternuement|éternuer|fièvre|grippe|malade|mouchoir|rhume|se moucher|visage qui éternue
🤨	visage avec les sourcils relevés	euh|hein|incrédule|méfiant|pas vrai|quoi|sceptique|surprise|tête avec sourcil levé|visage avec les sourcils relevés
🤩	visage avec des étoiles à la place des yeux	étoile|étoiles dans les yeux|grand sourire|heureux|pressé|surexcité|tête avec étoiles|visage|visage avec des étoiles à la place des yeux|wow|yeux
🤪	tête de fou	grand|large|oeil|œil|petit|tête de fou|tête folle|yeux|yeux fous
🤫	visage avec un doigt sur la bouche	chut|pas un bruit|silence|tête qui dit chut|visage avec un doigt sur la bouche
🤬	visage avec des symboles dans la bouche	censuré|colère|gros mots|insulter|insultes|jurer|juron|tête avec des symboles sur la bouche|visage avec des symboles dans la bouche
🤭	visage avec une main sur la bouche	malin|oops|oups|rigole|secret|surprise|visage avec main devant la bouche|visage avec une main sur la bouche
🤮	visage qui vomit	gerbe|gerber|malade|tête qui vomit|visage qui vomit|vomi|vomissure
🤯	tête qui explose	choc|choqué|surpris|surprise|tête choquée|tête qui explose
🤰	femme enceinte	enceinte|femme
🤱	allaitement	allaitement|bébé|maman|nourrice|nourrir le bébé|sein|soins
🤲	paume contre paume doigts vers le haut	espérer|mains|paume contre paume doigts vers le haut|paumes des mains ensemble|prier|prière
🤳	selfie	appareil photo|photo|selfie|téléphone
🤴	prince	couronne|prince|royal|royauté
🤵	personne en smoking	élégant|homme|marié|personne en smoking|personne mariée|smoking
🤶	mère Noël	bonnet|fêtes|mère|Noël|Santa
🤷	personne qui hausse les épaules	aucune idée|c’est comme ça|doute|femme qui hausse les épaules|haussement d’épaules|ignorance|indifférence|je ne sais pas|personne|personne qui hausse les épaules|peut-être|que faire|qui sait
🤸	personne faisant la roue	agilité|athlète|faire la roue|femme faisant la roue|gymnaste|gymnastique|personne|personne faisant la roue|roue|sport
🤹	personne qui jongle	artiste|cirque|gérer|jongler|jongleur|multitâche|personne qui jongle
🤺	escrimeur	épée|escrime|escrimeur|escrimeuse|personne|sport
🤼	personnes faisant de la lutte	bataille|lutte|lutteur|lutteurs|personnes|personnes faisant de la lutte|sport
🤽	personne jouant au water-polo	ballon|homme qui joue au water-polo|personne|personne jouant au water-polo|piscine|sport|water-polo
🤾	personne jouant au handball	athlète|ballon|handball|handballeur|lancer|personne|personne jouant au handball|sport
🤿	masque de plongée	apnée|masque|masque de plongée|masque et tuba|plongée|plonger|snorkeling|tuba
🥀	fleur fanée	fanée|fleur|mort|rose
🥁	batterie	baguette|baguettes|batterie|musique|tambour
🥂	trinquer	alcool|célébrer|champagne|fêter|santé|tchin|trinquer|verre|verres
🥃	verre tumbler	alcool|liqueur|tumbler|verre|whisky
🥄	cuillère	couvert|cuillère|manger
🥅	cage	but|cage|filet|sport
🥇	médaille d’or	1er|médaille|médaille d’or|or|premier
🥈	médaille d’argent	2e|argent|deuxième|médaille|médaille d’argent
🥉	médaille de bronze	3e|bronze|médaille|médaille de bronze|troisième
🥊	gant de boxe	boxe|gant|gant de boxe|sport
🥋	tenue d’arts martiaux	arts martiaux|judo|karaté|kimono|sport|taekwondo|tenue|tenue d’arts martiaux
🥌	pierre de curling	curling|granit|jeu|match|partie|pierre|pierre de curling|sport
🥍	crosse	balle|but|crosse|lacrosse|raquette|sport
🥎	softball	balle|gant|softball|sports
🥏	disque volant	discoplane|disque|disque volant|disque-volant|frisbee|sport|ultimate|ultime-passe
🥐	croissant	croissant|nourriture|pain|petit-déjeuner|viennoiserie
🥑	avocat	avocat|fruit|nourriture
🥒	concombre	concombre|cornichon|légume|nourriture
🥓	lard	bacon|lard|nourriture|porc|viande
🥔	pomme de terre	légume|nourriture|patate|pomme de terre|purée
🥕	carotte	carotte|légume|nourriture
🥖	baguette	baguette|nourriture|pain
🥗	salade verte	nourriture|salade|verte
🥘	plat mitonné	casserole|Espagne|paella|plat|plat mitonné|poêle|riz
🥙	kebab	falafel|kebab|nourriture|pain pita
🥚	œuf	nourriture|œuf
🥛	verre de lait	boisson|lait|verre|verre de lait
🥜	cacahuètes	arachide|cacahuète|cacahuètes|noisette|nourriture
🥝	kiwi	fruit|kiwi|nourriture
🥞	pancakes	crêpe|goûter|nourriture|pancake|pancakes|petit-déjeuner
🥟	boulette de pâte	boulette de pâte|dumpling|empanada|gyoza|jiaozi|pierogi|potsticker|ravioli
🥠	biscuit chinois	biscuit chinois|nourriture|prophétie
🥡	boîte à emporter	baguettes|boîte à emporter|carton|chinois|nourriture à emporter
🥢	baguettes	baguettes|hashi
🥣	bol avec cuillère	bol avec cuillère|bol avec une cuillère|céréales|congee|déjeuner|petit déjeuner|soupe
🥤	gobelet avec paille	boisson|eau|gobelet avec paille|jus de fruit|jus de fruits|soda|verre avec une paille
🥥	noix de coco	coco|fruit|noix de coco|nourriture|palmier|piña colada
🥦	brocoli	broccoli|brocoli|chou|chou sauvage|légume
